Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10040\trunk\production_files\400150_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       28.09.21
Time:       09:29
Revision:   21838
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C23","100nF","TopLayer","CAPC0603X03L_C","24.8832","27.7298","180","Capacitor, X5R, ±10%"
"C36","4.7µF","TopLayer","CAPC1608X06L","24.9146","33.9600","90","Capacitor, X7R, ±10%, 6.3V"
"C19","100nF","TopLayer","CAPC1005X04L","2.5868","25.9994","180","Capacitor, X7R, ±10%"
"C17","1.0µF","TopLayer","CAPC1608X06L","9.3726","23.9674","0","Capacitor, X7R, ±10%"
"C18","100nF","TopLayer","CAPC1005X04L","9.6266","22.9006","0","Capacitor, X7R, ±10%"
"R6","N.C.","TopLayer","RESC1005X04L_NC","16.5608","45.2526","90","Not mounted"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0098","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6098","0","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6098","0","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8698","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8698","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6098","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8698","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8698","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6098","0","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","TopLayer","SOCKET_2x3_SMD-2.54mm-bottom-NC","64.8970","33.0098","270","Socket 2x3, 2.54mm (100mil), SMD"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","21.0058","7.6098","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","88.4427","18.9397","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","77.2667","18.9397","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"R3","220R","TopLayer","RESC1005X04L","81.9152","43.0529","90","Resistor, ±1%, 0.063W"
"R4","220R","TopLayer","RESC1005X04L","88.2906","43.0529","90","Resistor, ±1%, 0.063W"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8862","54.6252","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P21","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5630","17.7698","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"R5","18k","TopLayer","RESC1005X04L","27.5323","14.6010","90","Resistor, ±1%, 0.063W"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5298","0","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5298","0","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9498","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9498","180","Pin Header 2x10, 2.54mm (100mil)"
"C4","100nF","TopLayer","CAPC1005X04L","77.1008","34.1163","180","Capacitor, X7R, ±10%"
"C5","100nF","TopLayer","CAPC1005X04L","79.5900","28.1219","180","Capacitor, X7R, ±10%"
"C7","100pF","TopLayer","CAPC1005X04L","87.6672","34.7767","0","Capacitor, NP0, ±5%"
"C9","4.7µF","TopLayer","CAPC1608X06L","77.1008","35.1323","180","Capacitor, X5R, ±10%"
"C6","N.C.","TopLayer","CAPC1005X04L_NC","87.6672","33.9385","0","Not mounted"
"C13","N.C.","TopLayer","CAPC1005X04L_NC","89.4080","31.2065","270","Not mounted"
"L1","3.9nH","TopLayer","INDC1005X04L","88.0228","31.7033","0","Inductor, 170mA, ±0.1nH"
"C3","0.8pF","TopLayer","CAPC1005X04L","86.6258","32.2113","270","Capacitor, NP0, ±5%"
"X2","32.768kHz","TopLayer","XTAL_3215","74.8185","31.2889","270","XTAL SMD 3215, 32.768kHz, 9pF, ±20ppm"
"C12","12pF","TopLayer","CAPC1005X04L","74.8185","28.9775","0","Capacitor, NP0, ±2%"
"C11","12pF","TopLayer","CAPC1005X04L","76.2409","32.1271","90","Capacitor, NP0, ±2%"
"R12","10k","TopLayer","RESC1005X04L","2.5868","26.8884","180","Resistor, ±1%, 0.063W"
"R13","150R","TopLayer","RESC0603X03L_C","30.4939","35.2160","90","Resistor, ±1%, 0.05W"
"SB17","Solderbridge","TopLayer","Solderbridge","54.6862","27.5260","270","Solderbridge"
"C48","1.0µF","TopLayer","CAPC1005X04L","52.9842","39.8976","180","Capacitor, X5R, ±5%, 6.3V"
"C49","1.0µF","TopLayer","CAPC1005X04L","52.9610","37.1290","0","Capacitor, X5R, ±5%, 6.3V"
"C50","1.0µF","TopLayer","CAPC1005X04L","57.3610","37.1466","0","Capacitor, X5R, ±5%, 6.3V"
"C51","1.0µF","TopLayer","CAPC1005X04L","60.0476","39.9718","180","Capacitor, X5R, ±5%, 6.3V"
"R40","18k","TopLayer","RESC1005X04L","52.9842","40.7612","180","Resistor, ±1%, 0.063W"
"R41","18k","TopLayer","RESC1005X04L","52.9610","37.9926","180","Resistor, ±1%, 0.063W"
"R42","18k","TopLayer","RESC1005X04L","57.3610","38.0102","180","Resistor, ±1%, 0.063W"
"R43","18k","TopLayer","RESC1005X04L","60.0476","40.8354","180","Resistor, ±1%, 0.063W"
"D3","1PS79SB30.115","TopLayer","SOD-523","52.9900","41.7010","180","Diode Schottky Vf=0.38, Vr=40V, If=200mA, Ir=500nA"
"D4","1PS79SB30.115","TopLayer","SOD-523","52.9922","38.9324","180","Diode Schottky Vf=0.38, Vr=40V, If=200mA, Ir=500nA"
"D5","1PS79SB30.115","TopLayer","SOD-523","57.3610","38.9324","180","Diode Schottky Vf=0.38, Vr=40V, If=200mA, Ir=500nA"
"D6","1PS79SB30.115","TopLayer","SOD-523","60.0280","41.7830","180","Diode Schottky Vf=0.38, Vr=40V, If=200mA, Ir=500nA"
"P23","FPC 0.5mm RA SMD","TopLayer","FPC_05P-0.5mm-RA-SMD","68.8941","6.0127","0","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"
"SB32","Solderbridge","TopLayer","Solderbridge","9.4488","56.0578","270","Solderbridge"
"C52","12pF","TopLayer","CAPC1005X04L","85.0508","36.8088","90","Capacitor, NP0, ±2%"
"C2","12pF","TopLayer","CAPC1005X04L","87.3622","36.8088","90","Capacitor, NP0, ±2%"
"C8","100nF","TopLayer","CAPC1005X04L","86.4732","36.8088","90","Capacitor, X7R, ±10%"
"X1","32MHz","TopLayer","BT-XTAL_2016","89.1402","36.8088","180","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±10ppm"
"C1","12pF","TopLayer","CAPC1005X04L","90.9182","36.8088","270","Capacitor, NP0, ±2%"
"L2","10µH","TopLayer","INDC1608X06L","80.1742","37.0932","270","Inductor, 80mA, ±10%"
"L3","15nH","TopLayer","INDC1005X04L","79.0065","39.1760","310","Inductor, 320mA, ±5%"
"C10","1.0µF","TopLayer","CAPC1608X06L","79.6923","40.0396","310","Capacitor, X7R, ±10%"
"C53","12pF","TopLayer","CAPC1005X04L","84.0856","36.8089","90","Capacitor, NP0, ±2%"
"R51","220k","TopLayer","RESC0603X03L_C","16.3322","17.5006","0","Resistor, ±1%, 0.05W"
"R50","220k","TopLayer","RESC0603X03L_C","15.3162","23.4442","90","Resistor, ±1%, 0.05W"
"D1","NSR0620P2T5G","TopLayer","SODFL100X40-2N","19.8120","20.6908","180","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"U13","NC7SV11L6X","TopLayer","DFN1410-6N","19.3040","13.9700","0","Single 3-input AND gate"
"U12","NC7SV11L6X","TopLayer","DFN1410-6N","16.2560","13.9700","0","Single 3-input AND gate"
"U11","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","11.9126","13.7668","0","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"R49","100k","TopLayer","RESC0603X03L_C","18.4658","16.4338","180","Resistor, ±1%, 0.05W"
"R48","1M0","TopLayer","RESC0603X03L_C","23.5712","17.1958","180","Resistor, ±1%, 0.05W"
"R47","1M0","TopLayer","RESC0603X03L_C","14.2748","21.7932","90","Resistor, ±1%, 0.05W"
"R46","1M0","TopLayer","RESC0603X03L_C","18.2880","19.8120","270","Resistor, ±1%, 0.05W"
"Q5","TSM2537CQ RFG","TopLayer","DFN65P200X200X80_HS-6N","23.0378","15.2908","90","Dual N & P Ch MOFET, 11.6A/9A, 90mOhm max, 6.25W"
"Q4","TSM250N02DCQ RFG","TopLayer","DFN65P200X200X80_HS-6N","16.2814","20.8026","270","Dual N Ch MOFET, 5.8A, 55mOhm max, 620mW"
"C57","100nF","TopLayer","CAPC0603X03L_C","20.3200","14.2240","270","Capacitor, X5R, ±10%"
"C56","100nF","TopLayer","CAPC0603X03L_C","17.2720","14.2240","270","Capacitor, X5R, ±10%"
"SB12","Solderbridge","TopLayer","Solderbridge","19.8120","19.5478","180","Solderbridge"
"SB10","Solderbridge","TopLayer","Solderbridge","19.8120","21.8338","180","Solderbridge"
"D7","NSR0620P2T5G","TopLayer","SODFL100X40-2N","19.8120","18.4048","180","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"R60","1M0","TopLayer","RESC0603X03L_C","4.1148","13.9192","270","Resistor, ±1%, 0.05W"
"Q3","TSM2537CQ RFG","TopLayer","DFN65P200X200X80_HS-6N","6.0452","12.9286","90","Dual N & P Ch MOFET, 11.6A/9A, 90mOhm max, 6.25W"
"SB33","Solderbridge","TopLayer","Solderbridge","10.1600","9.9060","270","Solderbridge"
"R20","150R","TopLayer","RESC0603X03L_C","36.2510","27.3642","90","Resistor, ±1%, 0.05W"
"R19","150R","TopLayer","RESC0603X03L_C","35.6374","27.3642","90","Resistor, ±1%, 0.05W"
"R45","47k","TopLayer","RESC0603X03L_C","22.8632","20.5014","180","Resistor, ±1%, 0.05W"
"R44","33k","TopLayer","RESC0603X03L_C","22.8632","19.7394","0","Resistor, ±1%, 0.05W"
"SW6","MK-22D14-G2","TopLayer","MK-22D14-G2","5.5372","6.7796","0","Slide Switch DPDT"
"R57","0R","TopLayer","RESC1005X04L","26.2661","15.3063","270","Resistor, ±5%, 0.063W"
"TP14","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","25.1015","13.0023","0","1.0mm circular SMD testpad"
